"Date","Price","Open","High","Low","Vol.","Change %"
"05/06/2022","100.63","102.85","102.85","99.10","1.56M","-3.72%"
"05/05/2022","104.52","108.63","108.63","103.22","1.03M","-4.85%"
"05/04/2022","109.85","108.66","110.02","106.50","998.20K","0.78%"
"05/03/2022","109.00","109.75","110.42","108.19","900.18K","-0.67%"
"05/02/2022","109.74","108.30","110.14","107.78","820.09K","1.57%"
"04/29/2022","108.04","110.00","110.98","107.92","1.57M","-2.56%"
"04/28/2022","110.88","109.21","112.18","108.83","934.43K","2.72%"
"04/27/2022","107.94","106.90","108.23","105.69","909.74K","0.85%"
"04/26/2022","107.03","109.62","109.79","106.92","1.01M","-2.85%"
"04/25/2022","110.17","108.00","110.34","106.75","1.11M","1.84%"
"04/22/2022","108.18","110.11","110.97","108.12","801.85K","-1.94%"
"04/21/2022","110.32","112.12","112.89","110.04","769.84K","-0.79%"
"04/20/2022","111.20","112.34","114.68","110.62","1.36M","-0.42%"
"04/19/2022","111.67","108.90","112.28","108.16","866.73K","2.01%"
"04/18/2022","109.47","113.24","113.45","108.86","1.36M","-3.75%"
"04/14/2022","113.73","114.35","115.36","113.46","1.07M","-0.46%"
"04/13/2022","114.25","111.95","114.68","111.95","1.33M","2.20%"
"04/12/2022","111.79","111.59","113.91","111.59","1.15M","0.61%"
"04/11/2022","111.11","110.29","112.40","109.82","771.55K","0.05%"
"04/08/2022","111.05","111.26","111.68","109.95","876.41K","-0.18%"
"04/07/2022","111.25","110.78","111.64","109.70","1.49M","0.22%"
"04/06/2022","111.01","113.78","114.33","110.49","1.09M","-3.91%"
"04/05/2022","115.53","115.15","117.00","115.01","1.45M","-0.27%"
"04/04/2022","115.84","114.40","115.89","113.34","1.28M","1.43%"
"04/01/2022","114.21","113.50","114.77","113.15","971.42K","0.30%"
"03/31/2022","113.87","114.51","115.53","113.62","1.62M","-2.00%"
"03/30/2022","116.19","118.69","118.69","116.04","1.51M","-2.55%"
"03/29/2022","119.23","119.89","120.08","118.21","1.21M","0.40%"
"03/28/2022","118.76","117.90","119.11","117.49","983.00K","0.33%"
"03/25/2022","118.37","117.86","118.41","115.94","1.57M","0.85%"
"03/24/2022","117.37","117.01","117.39","115.83","782.68K","0.90%"
"03/23/2022","116.32","116.19","116.89","115.53","1.87M","-0.41%"
"03/22/2022","116.80","116.00","117.10","115.31","1.05M","1.38%"
"03/21/2022","115.21","115.23","116.25","114.28","1.31M","-0.09%"
"03/18/2022","115.31","113.07","115.68","111.95","3.36M","1.34%"
"03/17/2022","113.78","112.68","114.05","111.08","1.64M","0.69%"
"03/16/2022","113.00","111.97","113.42","110.14","1.94M","1.66%"
"03/15/2022","111.16","109.96","111.25","109.64","1.66M","2.27%"
"03/14/2022","108.69","110.51","110.51","107.57","1.85M","-1.73%"
"03/11/2022","110.60","114.35","114.73","110.40","1.38M","-2.99%"
"03/10/2022","114.01","113.41","115.27","112.99","1.06M","-0.71%"
"03/09/2022","114.83","112.37","115.80","111.82","1.83M","4.50%"
"03/08/2022","109.89","111.34","112.29","107.88","2.47M","-2.22%"
"03/07/2022","112.38","119.12","119.27","112.32","2.26M","-5.77%"
"03/04/2022","119.26","119.59","120.06","117.02","1.88M","-0.70%"
"03/03/2022","120.10","118.53","120.48","116.04","2.34M","0.42%"
"03/02/2022","119.60","116.64","120.71","116.49","1.92M","3.18%"
"03/01/2022","115.91","117.00","117.74","115.27","2.32M","-1.20%"
"02/28/2022","117.32","115.72","118.35","114.16","2.63M","-0.69%"
"02/25/2022","118.14","115.00","120.30","111.50","3.26M","0.02%"
"02/24/2022","118.12","115.04","118.73","114.34","2.95M","0.03%"
"02/23/2022","118.08","120.72","121.34","117.93","1.36M","-1.91%"
"02/22/2022","120.38","120.42","122.55","118.67","1.77M","-1.87%"
"02/18/2022","122.67","124.00","124.76","121.92","1.33M","-1.39%"
"02/17/2022","124.40","125.00","128.00","124.30","1.31M","-1.19%"
"02/16/2022","125.90","125.79","126.75","124.57","808.77K","-0.70%"
"02/15/2022","126.79","124.08","127.08","124.08","1.43M","2.60%"
"02/14/2022","123.58","124.08","125.65","122.94","1.91M","-1.21%"
"02/11/2022","125.09","132.90","133.13","124.63","3.61M","-6.49%"
"02/10/2022","133.77","135.00","136.85","131.97","2.40M","-1.55%"
"02/09/2022","135.87","133.47","136.00","132.98","2.18M","2.54%"
"02/08/2022","132.50","131.53","133.30","129.75","1.96M","0.59%"
"02/07/2022","131.72","131.69","132.54","130.05","1.20M","0.50%"
"02/04/2022","131.07","130.00","131.93","129.40","1.08M","0.85%"
"02/03/2022","129.97","129.31","131.67","128.78","1.55M","-0.63%"
"02/02/2022","130.80","128.01","130.95","127.25","1.70M","1.81%"
"02/01/2022","128.47","128.36","129.23","126.18","1.45M","-0.01%"
"01/31/2022","128.48","128.40","130.50","127.66","1.83M","-0.51%"
"01/28/2022","129.14","124.62","129.24","123.91","1.71M","3.51%"
"01/27/2022","124.76","123.42","126.38","123.01","1.87M","1.96%"
"01/26/2022","122.36","124.81","125.10","121.64","1.45M","-0.24%"
"01/25/2022","122.65","121.50","124.49","120.45","3.07M","-2.03%"
"01/24/2022","125.19","121.00","125.49","120.50","2.54M","1.17%"
"01/21/2022","123.74","125.58","126.50","123.42","2.12M","-0.98%"
"01/20/2022","124.96","125.00","127.16","124.80","1.42M","0.60%"
"01/19/2022","124.21","126.00","128.54","124.08","2.78M","-0.40%"
"01/18/2022","124.71","125.05","126.96","124.00","2.87M","-0.38%"
"01/14/2022","125.18","123.01","125.19","122.98","1.56M","1.44%"
"01/13/2022","123.40","124.77","124.77","121.88","1.28M","0.41%"
"01/12/2022","122.90","124.35","125.75","122.24","1.35M","-1.09%"
"01/11/2022","124.26","123.08","124.82","122.81","3.16M","1.40%"
"01/10/2022","122.54","120.86","122.60","119.21","1.91M","1.73%"
"01/07/2022","120.46","119.81","121.12","118.92","1.65M","0.28%"
"01/06/2022","120.12","120.25","122.50","119.56","1.69M","-0.71%"
"01/05/2022","120.98","120.13","124.65","120.06","3.19M","0.40%"
"01/04/2022","120.50","118.56","121.27","118.56","2.28M","1.95%"
"01/03/2022","118.20","116.00","118.73","115.03","1.51M","2.00%"
